CourtLink, which has 160 employees, developed a filing system that enables judges, lawyers and court clerks to process pleadings, motions and other documents electronically over a secure connection.
0	"160 employees"	"be has by"	"CourtLink"
55	"A defense spokesman"	"added"	"that British officials were aware of the potential for missile attacks along the border between the province and the Irish republic"
55	"British officials"	"were "aware of"	"the potential ""
55	"British officials"	"were"	""aware of the potential ""
55	"British officials"	"were"	"aware for missile attacks along the border between the province and the Irish republic"
55	"British officials"	"were"	"aware of the potential"
55	"British officials"	"were"	"aware"
Like all good pamphlets, "The Missionary Position," by Christopher Hitchens, is very short, zealously overwritten, and rails wildly in defense of an almost nonsensical proposition: that Mother Teresa of Calcutta is actually not a saint but an evil and selfish old woman.
56	"Christopher Hitchens"	"rails wildly in"	"defense of an almost nonsensical proposition"
56	"Mother Teresa of Calcutta"	"is actually"	"not a saint"
56	"Mother Teresa of Calcutta"	"is not"	"a saint actually"
56	"Mother Teresa of Calcutta"	"is not"	"a saint but an evil and selfish old woman"
56	"Mother Teresa of Calcutta"	"is not"	"a saint but an evil"
56	"Mother Teresa of Calcutta"	"is not"	"a saint but selfish old woman"
56	"Mother Teresa of Calcutta"	"is not"	"a saint"
56	"The Missionary Position by Christopher Hitchens"	"is"	"rails wildly in defense of an almost nonsensical proposition that Mother Teresa of Calcutta is actually not a saint but an evil Like all good pamphlets"
56	"The Missionary Position by Christopher Hitchens"	"is"	"rails wildly in defense of an almost nonsensical proposition that Mother Teresa of Calcutta is actually not a saint but an evil"
56	"The Missionary Position by Christopher Hitchens"	"is"	"rails wildly in defense of an almost nonsensical proposition that Mother Teresa of Calcutta is actually not a saint but selfish old woman Like all good pamphlets"
56	"The Missionary Position by Christopher Hitchens"	"is"	"rails wildly in defense of an almost nonsensical proposition that Mother Teresa of Calcutta is actually not a saint but selfish old woman"
56	"The Missionary Position by Christopher Hitchens"	"is"	"rails wildly in defense of an almost nonsensical proposition very that Mother Teresa of Calcutta is actually not a saint but an evil"
56	"The Missionary Position by Christopher Hitchens"	"is"	"rails wildly in defense of an almost nonsensical proposition very that Mother Teresa of Calcutta is actually not a saint but selfish old woman"
56	"The Missionary Position by Christopher Hitchens"	"is"	"short that Mother Teresa of Calcutta is actually not a saint but an evil Like all good pamphlets"
56	"The Missionary Position by Christopher Hitchens"	"is"	"short that Mother Teresa of Calcutta is actually not a saint but an evil"
56	"The Missionary Position by Christopher Hitchens"	"is"	"short that Mother Teresa of Calcutta is actually not a saint but selfish old woman Like all good pamphlets"
56	"The Missionary Position by Christopher Hitchens"	"is"	"short that Mother Teresa of Calcutta is actually not a saint but selfish old woman"
56	"The Missionary Position by Christopher Hitchens"	"is"	"short very that Mother Teresa of Calcutta is actually not a saint but an evil"
56	"The Missionary Position by Christopher Hitchens"	"is"	"short very that Mother Teresa of Calcutta is actually not a saint but selfish old woman"
56	"The Missionary Position by Christopher Hitchens"	"is"	"short zealously overwritten and rails wildly in defense of an almost nonsensical proposition that Mother Teresa of Calcutta is actually not a saint but an evil and selfish old woman Like all good pamphlets"
56	"The Missionary Position by Christopher Hitchens"	"is"	"short zealously overwritten and rails wildly in defense of an almost nonsensical proposition that Mother Teresa of Calcutta is actually not a saint but an evil and selfish old woman"
56	"The Missionary Position by Christopher Hitchens"	"is"	"short zealously overwritten and rails wildly in defense of an almost nonsensical proposition very that Mother Teresa of Calcutta is actually not a saint but an evil and selfish old woman"
56	"The Missionary Position by Christopher Hitchens"	"is"	"zealously overwritten that Mother Teresa of Calcutta is actually not a saint but an evil Like all good pamphlets"
56	"The Missionary Position by Christopher Hitchens"	"is"	"zealously overwritten that Mother Teresa of Calcutta is actually not a saint but an evil"
56	"The Missionary Position by Christopher Hitchens"	"is"	"zealously overwritten that Mother Teresa of Calcutta is actually not a saint but selfish old woman Like all good pamphlets"
56	"The Missionary Position by Christopher Hitchens"	"is"	"zealously overwritten that Mother Teresa of Calcutta is actually not a saint but selfish old woman"
56	"The Missionary Position by Christopher Hitchens"	"is"	"zealously overwritten very that Mother Teresa of Calcutta is actually not a saint but an evil"
56	"The Missionary Position by Christopher Hitchens"	"is"	"zealously overwritten very that Mother Teresa of Calcutta is actually not a saint but selfish old woman"
56	"The Missionary Position"	"is very"	"short , zealously overwritten"
56	"The Missionary Position"	"rails in"	"defense of an almost nonsensical proposition"
Devoted mother of Lyn Boland Dosik and the late Howard Batzar.
57	"Devoted"	"be mother of"	"Lyn Boland Dosik and the late Howard Batzar"
Steamed crabs with scallions and ginger ($10.95) were tender, easy to open and delicately flavored.
58	"Steamed crabs with ginger"	"is"	"$ 10.95"
58	"Steamed crabs with ginger"	"were"	"tender delicately flavored"
58	"Steamed crabs with ginger"	"were"	"tender easy to open"
58	"Steamed crabs with scallions and ginger"	"is"	"$ 10.95"
58	"Steamed crabs with scallions and ginger"	"were"	"tender easy to open and delicately flavored"
58	"Steamed crabs with scallions"	"is"	"$ 10.95"
58	"Steamed crabs with scallions"	"were"	"tender delicately flavored"
58	"Steamed crabs with scallions"	"were"	"tender easy to open"
"It's only going to get worse before it gets better."
59	"It"	"'s going"	"to worse before it gets better only"
59	"It"	"'s going"	"to worse before it gets better"
59	"It"	"'s only going to get"	"worse"
59	"it"	"better"
Tickets are $30 and $25.
60	"Tickets"	"are"	"$ 25"
60	"Tickets"	"are"	"$ 30 and $ 25"
60	"Tickets"	"are"	"$ 30 and $ 25."
60	"Tickets"	"are"	"$ 30"
He is the assistant director for policy at the Gay Men's Health Crisis.
61	"He"	"is the assistant director at"	"the Gay Men 's Health Crisis"
61	"He"	"is the assistant director for"	"policy"
61	"He"	"is"	"the assistant director for policy at the Gay Men 's Health Crisis"
61	"He"	"is"	"the assistant director"
61	"the Gay Men"	"has"	"Health Crisis"
The Hall of Fame-bound pitcher fires a fastball.
62	"The Hall of Fame-bound pitcher"	"fires"	"a fastball"
"It was clear to us when we visited there in October that the Romanians hated those who had left the country," said Liselotte Leicht, program director at the Helsinki Federation.
63	"It"	"was clear to"	"us"	"[attrib=Liselotte Leicht said]"
63	"It"	"was"	"clear to us"
63	"It"	"was"	"clear when we visited there in October that the Romanians hated those"
63	"It"	"was"	"clear"
63	"Liselotte Leicht"	"be program director at"	"the Helsinki Federation"
63	"Liselotte Leicht"	"is"	"program director at the Helsinki Federation"
63	"Liselotte Leicht"	"said"	"It was clear to us when we visited there in October that the Romanians hated those"
63	"the Romanians"	"hated"	"those"
63	"the country"	"said"	"Liselotte Leicht"
63	"those"	"had left"	"the country"
63	"we"	"visited in"	"October"
63	"we"	"visited"	"October"
63	"we"	"visited"	"in October that the Romanians hated those"
63	"we"	"visited"	"that the Romanians hated those when"
63	"we"	"visited"	"that the Romanians hated those"
63	"we"	"visited"	"there that the Romanians hated those"
63	"we"	"visited"	"there"
Officials declined yesterday to identify the medication involved.
64	"Officials"	"declined in"	"yesterday"
64	"Officials"	"declined to identify"	"the medication involved"
64	"Officials"	"declined"	"to identify the medication involved"
64	"Officials"	"declined"	"yesterday to identify the medication involved"
64	"Officials"	"declined"	"yesterday"
64	"the medication"	"involved"
I readied my gear for a truly local fishing trip.
65	"I"	"readied my gear for"	"a truly local fishing trip"
65	"I"	"readied"	"my gear for a truly local fishing trip"
65	"I"	"readied"	"my gear"
65	"my gear"	"be readied for"	"a truly local fishing trip"
65	"my"	"has"	"gear"
Yesterday, when The News led with "Friendly Fire" and "30 Marines wounded in attack near Nassiriya," The Post said, "Saddam's evil order to kids: Fight or your parents die," followed by "How low can Iraq sink.
66	"30 Marines"	"wounded in"	"attack"
66	"Saddam 's evil order to kids Fight or your parents"	"die"
66	"Saddam 's evil order to kids Fight"	"die"
66	"Saddam 's evil order to kids your parents"	"die"
66	"Saddam"	"has"	"evil order to kids Fight or your parents"
66	"Saddam"	"has"	"evil order to kids Fight"
66	"Saddam"	"has"	"evil order to kids your parents"
66	"The News led with 30 Marines"	"wounded"	"in attack near Nassiriya when"
66	"The News led with 30 Marines"	"wounded"	"in attack near Nassiriya"
66	"The News led with Friendly Fire and 30 Marines"	"wounded"	"in attack near Nassiriya when"
66	"The News led with Friendly Fire and 30 Marines"	"wounded"	"in attack near Nassiriya"
66	"The News led with Friendly Fire"	"wounded"	"in attack near Nassiriya when"
66	"The News led with Friendly Fire"	"wounded"	"in attack near Nassiriya"
66	"The News"	"be led"	"with 30 Marines"
66	"The News"	"be led"	"with Friendly Fire and 30 Marines"
66	"The News"	"be led"	"with Friendly Fire"
66	"The News"	"led with"	"Friendly Fire"
66	"The Post"	"said"	"Yesterday when The News led with 30 Marines wounded in attack near Nassiriya Saddam 's evil order to kids Fight or your parents die followed by How low can Iraq sink"
66	"The Post"	"said"	"Yesterday when The News led with Friendly Fire and 30 Marines wounded in attack near Nassiriya Saddam 's evil order to kids Fight or your parents die followed by How low can Iraq sink"
66	"The Post"	"said"	"Yesterday when The News led with Friendly Fire wounded in attack near Nassiriya Saddam 's evil order to kids Fight die followed by How low can Iraq sink"
66	"The Post"	"said"	"Yesterday when The News led with Friendly Fire wounded in attack near Nassiriya Saddam 's evil order to kids your parents die followed by How low can Iraq sink"
66	"Yesterday"	"followed by"	"Saddam 's evil order to kids Fight die How low can Iraq sink when The News led with 30 Marines wounded in attack near Nassiriya"
66	"Yesterday"	"followed by"	"Saddam 's evil order to kids Fight die How low can Iraq sink when The News led with Friendly Fire wounded in attack near Nassiriya"
66	"Yesterday"	"followed by"	"Saddam 's evil order to kids Fight die How low can Iraq sink"
66	"Yesterday"	"followed by"	"Saddam 's evil order to kids Fight or your parents die How low can Iraq sink when The News led with Friendly Fire and 30 Marines wounded in attack near Nassiriya"
66	"Yesterday"	"followed by"	"Saddam 's evil order to kids Fight or your parents die How low can Iraq sink"
66	"Yesterday"	"followed by"	"Saddam 's evil order to kids your parents die How low can Iraq sink when The News led with 30 Marines wounded in attack near Nassiriya"
66	"Yesterday"	"followed by"	"Saddam 's evil order to kids your parents die How low can Iraq sink when The News led with Friendly Fire wounded in attack near Nassiriya"
66	"Yesterday"	"followed by"	"Saddam 's evil order to kids your parents die How low can Iraq sink"
66	"low"	"can sink"
66	"low"	"can sink"	"How"
66	"low"	"can sink"	"Iraq"
66	"your"	"has"	"parents"
They live with Dirk, Weetzie's gay best friend, his lover, Duck, and Weetzie's daughter, Cherokee, possibly conceived during group sex with Dirk and Duck.
67	"Cherokee"	"be daughter of"	"Dirk , Weetzie 's gay best friend , his lover , Duck , and Weetzie"
67	"Dirk"	"is"	"Weetzie 's daughter possibly conceived during group sex with Dirk"
67	"Dirk"	"is"	"Weetzie 's daughter possibly conceived during group sex with Duck"
67	"Dirk"	"is"	"Weetzie 's gay best friend his lover and Weetzie 's daughter possibly conceived during group sex with Dirk and Duck"
67	"Dirk"	"is"	"Weetzie 's gay best friend possibly conceived during group sex with Dirk"
67	"Dirk"	"is"	"Weetzie 's gay best friend possibly conceived during group sex with Duck"
67	"Dirk"	"is"	"his lover possibly conceived during group sex with Dirk"
67	"Dirk"	"is"	"his lover possibly conceived during group sex with Duck"
67	"They"	"live with"	"Dirk , Weetzie 's gay best friend , his lover , Duck , and Weetzie 's daughter"
67	"They"	"live with"	"Dirk"
67	"They"	"live"	"with Dirk"
67	"Weetzie 's daughter possibly conceived during group sex with Dirk"	"is"	"Cherokee"
67	"Weetzie 's daughter possibly conceived during group sex with Duck"	"is"	"Cherokee"
67	"Weetzie 's daughter"	"be conceived"	"possibly during group sex with Dirk"
67	"Weetzie 's daughter"	"be conceived"	"possibly during group sex with Duck"
67	"Weetzie 's daughter"	"be conceived"	"possibly"
67	"Weetzie 's daughter"	"possibly conceived during"	"group sex"
67	"Weetzie 's gay best friend his lover and Weetzie 's daughter possibly conceived during group sex with Dirk and Duck"	"is"	"Cherokee"
67	"Weetzie 's gay best friend his lover and Weetzie 's daughter"	"be conceived"	"possibly during group sex with Dirk and Duck"
67	"Weetzie 's gay best friend his lover and Weetzie 's daughter"	"be conceived"	"possibly"
67	"Weetzie 's gay best friend possibly conceived during group sex with Dirk"	"is"	"Cherokee"
67	"Weetzie 's gay best friend possibly conceived during group sex with Duck"	"is"	"Cherokee"
67	"Weetzie 's gay best friend"	"be conceived"	"possibly during group sex with Dirk"
67	"Weetzie 's gay best friend"	"be conceived"	"possibly during group sex with Duck"
67	"Weetzie 's gay best friend"	"be conceived"	"possibly"
67	"Weetzie"	"has"	"daughter"
67	"Weetzie"	"has"	"gay best friend his lover and Weetzie 's daughter possibly conceived during group sex with Dirk and Duck"
67	"Weetzie"	"has"	"gay best friend possibly conceived during group sex with Dirk"
67	"Weetzie"	"has"	"gay best friend possibly conceived during group sex with Duck"
67	"his lover possibly conceived during group sex with Dirk"	"is"	"Cherokee"
67	"his lover possibly conceived during group sex with Duck"	"is"	"Cherokee"
67	"his lover"	"be conceived"	"possibly during group sex with Dirk"
67	"his lover"	"be conceived"	"possibly during group sex with Duck"
67	"his lover"	"be conceived"	"possibly"
67	"his lover"	"is"	"Duck"
67	"his"	"has"	"lover"
Among his many honors, he won the Waterford International Biomedical Award and Eli Lilly Award in Bacteriology and citations from the American Association of Medical Colleges and the American Society of Cell Biology.
68	"he"	"won Eli Lilly Award in Bacteriology among"	"his many honors"
68	"he"	"won Eli Lilly Award in Bacteriology from"	"the American Association of Medical Colleges and the American Society of Cell Biology"
68	"he"	"won citations among"	"his many honors"
68	"he"	"won citations from"	"the American Association of Medical Colleges and the American Society of Cell Biology"
68	"he"	"won the Waterford International Biomedical Award among"	"his many honors"
68	"he"	"won the Waterford International Biomedical Award from"	"the American Association of Medical Colleges and the American Society of Cell Biology"
68	"he"	"won"	"Eli Lilly Award in Bacteriology Among his many honors"
68	"he"	"won"	"Eli Lilly Award in Bacteriology from the American Association of Medical Colleges"
68	"he"	"won"	"Eli Lilly Award in Bacteriology from the American Society of Cell Biology"
68	"he"	"won"	"Eli Lilly Award in Bacteriology"
68	"he"	"won"	"Eli Lilly Award in citations Among his many honors"
68	"he"	"won"	"Eli Lilly Award in citations from the American Association of Medical Colleges"
68	"he"	"won"	"Eli Lilly Award in citations from the American Society of Cell Biology"
68	"he"	"won"	"Eli Lilly Award in citations"
68	"he"	"won"	"the Waterford International Biomedical Award and Eli Lilly Award in Bacteriology and citations Among his many honors"
68	"he"	"won"	"the Waterford International Biomedical Award and Eli Lilly Award in Bacteriology and citations from the American Association of Medical Colleges and the American Society of Cell Biology"
68	"he"	"won"	"the Waterford International Biomedical Award and Eli Lilly Award in Bacteriology and citations"
68	"he"	"won"	"the Waterford International Biomedical Award in Bacteriology Among his many honors"
68	"he"	"won"	"the Waterford International Biomedical Award in Bacteriology from the American Association of Medical Colleges"
68	"he"	"won"	"the Waterford International Biomedical Award in Bacteriology from the American Society of Cell Biology"
68	"he"	"won"	"the Waterford International Biomedical Award in Bacteriology"
68	"he"	"won"	"the Waterford International Biomedical Award in citations Among his many honors"
68	"he"	"won"	"the Waterford International Biomedical Award in citations from the American Association of Medical Colleges"
68	"he"	"won"	"the Waterford International Biomedical Award in citations from the American Society of Cell Biology"
68	"he"	"won"	"the Waterford International Biomedical Award in citations"
68	"he"	"won"	"the Waterford International Biomedical Award"
68	"his"	"has"	"many honors"
68	"the Waterford International Biomedical Award and Eli Lilly Award in Bacteriology and citations"	"be won among"	"his many honors"
68	"the Waterford International Biomedical Award and Eli Lilly Award in Bacteriology and citations"	"be won from"	"the American Association of Medical Colleges and the American Society of Cell Biology"
Sheik Thamer is the deputy to Grand Ayatollah Ali al-Sestani, the country's most senior Shiite cleric.
69	"Grand Ayatollah Ali al-Sestani"	"is"	"the country 's most senior Shiite cleric"
69	"Sheik Thamer"	"is the deputy to"	"Grand Ayatollah Ali al-Sestani"
69	"Sheik Thamer"	"is"	"the deputy to Grand Ayatollah Ali al-Sestani"
69	"Sheik Thamer"	"is"	"the deputy"
69	"the country"	"has"	"most senior Shiite cleric"
69	"the deputy"	"be senior Shiite cleric of"	"the country"
The limits, which have not been made definite, will be even lower for economy and business-class travelers.
70	"The limits which have not been made definite"	"will be even lower for"	"economy and business-class travelers"
70	"The limits"	"have not been made"	"definite"
70	"The limits"	"will be even lower for"	"economy and business-class travelers"
70	"The limits"	"will be"	"lower for business-class travelers"
70	"The limits"	"will be"	"lower for economy and business-class travelers"
70	"The limits"	"will be"	"lower for economy travelers"
70	"The limits"	"will be"	"lower"
The shuttle between Times Square and Grand Central also was stopped, and Flushing line trains bypassed Grand Central.
71	"Flushing line trains"	"bypassed"	"Grand Central"
71	"Flushing line"	"trains bypassed"	"Grand Central"
71	"The shuttle between Times Square and Grand Central"	"was stopped"
71	"The shuttle between Times Square and Grand Central"	"was stopped"	"also"
It will not settle anything and her advisers will walk away and they'll still be making demands.
72	"It"	"'ll still be making"	"demands"
72	"It"	"will not settle"	"anything and her advisers"
72	"It"	"will not settle"	"anything"
72	"her advisers"	"will walk away"
72	"her"	"has"	"advisers"
72	"they"	"'ll be making"	"demands still"
72	"they"	"'ll be making"	"demands"
72	"they"	"'ll still be making"	"demands"
72	"they"	"will not settle"	"anything and her advisers"
His one miscalculation was to ask for humming in the second song, for nobody can hum to fill Carnegie Hall.
73	"His one miscalculation"	"to ask for"	"humming"
73	"His one miscalculation"	"to ask for"	"nobody"
73	"His one miscalculation"	"was to ask for"	"humming"
73	"His one miscalculation"	"was to ask for"	"nobody"
73	"His one miscalculation"	"was"	"to ask for humming in the second song for nobody can hum to fill Carnegie Hall"
73	"His one miscalculation"	"was"	"to ask for humming in the second song"
73	"His"	"has"	"one miscalculation"
73	"nobody"	"can hum"	"to fill Carnegie Hall"
The San Antonio News Express reported yesterday that negotiations had broken down.
74	"The San Antonio News Express"	"reported in"	"yesterday"
74	"The San Antonio News Express"	"reported"	"that negotiations had broken down"
74	"The San Antonio News Express"	"reported"	"yesterday that negotiations had broken down"
74	"The San Antonio News Express"	"reported"	"yesterday"
74	"negotiations"	"had broken down"
The playing wasn't bad, really; it just wasn't good enough to justify the event.
75	"The playing"	"was n't"	"bad really"
75	"The playing"	"was n't"	"bad"
75	"The playing"	"was really"	"n't bad"
75	"it"	"just was enough"	"n't good"
75	"it"	"to justify"	"the event"
75	"it"	"was n't"	"good enough to justify the event"
75	"it"	"was n't"	"good to justify the event just"
75	"it"	"was n't"	"good to justify the event"
Frauke Petersen Haasemann, the assistant conductor of the Westminster Choir and professor of conducting at the Westminster Choir College, died last Friday at her home in Princeton, N.J.
76	"Frauke Petersen Haasemann"	"be the assistant conductor of"	"the Westminster Choir"
76	"Frauke Petersen Haasemann"	"died at"	"her home"
76	"Frauke Petersen Haasemann"	"died in"	"last Friday"
76	"Frauke Petersen Haasemann"	"died"
76	"Frauke Petersen Haasemann"	"died"	"at her home in Princeton N.J."
76	"Frauke Petersen Haasemann"	"died"	"last Friday"
76	"Frauke Petersen Haasemann"	"is"	"professor of conducting at the Westminster Choir College"
76	"Frauke Petersen Haasemann"	"is"	"the assistant conductor of the Westminster Choir and professor of conducting at the Westminster Choir College"
76	"Frauke Petersen Haasemann"	"is"	"the assistant conductor of the Westminster Choir"
76	"Princeton"	"be her home in"	"N.J"
76	"her"	"has"	"home in Princeton N.J."
76	"professor"	"died last Friday at"	"her home"
For the proposal itself, he toured five hotels in search of a room with a view of Central Park and selected one on a high floor of the Carlyle.
77	"five hotels"	"be toured for"	"the proposal"
77	"five hotels"	"be toured in"	"search of a room"
77	"he"	"selected one on"	"a high floor of the Carlyle"
77	"he"	"selected"	"one For the proposal itself"
77	"he"	"selected"	"one on a high floor of the Carlyle"
77	"he"	"selected"	"one"
77	"he"	"toured five hotels for"	"the proposal"
77	"he"	"toured five hotels in"	"search of a room"
77	"he"	"toured"	"five hotels For the proposal itself"
77	"he"	"toured"	"five hotels in search of a room"
77	"he"	"toured"	"five hotels with a view of Central Park"
77	"he"	"toured"	"five hotels"
77	"one"	"be selected on"	"a high floor of the Carlyle"
77	"search of a room"	"selected"	"one"
Mr. Hashimoto, who denied the bribery charges, took his case to the Supreme Court, but the court had not issued a ruling by the time of his death.
78	"Mr. Hashimoto"	"denied"	"the bribery charges"
78	"Mr. Hashimoto"	"took his case to"	"the Supreme Court"
78	"Mr. Hashimoto"	"took"	"his case to the Supreme Court"
78	"Mr. Hashimoto"	"took"	"his case"
78	"his case"	"be took to"	"the Supreme Court"
78	"his"	"has"	"case"
78	"his"	"has"	"death"
78	"the court"	"had not issued a ruling by"	"the time of his death"
78	"the court"	"had not issued"	"a ruling by the time of his death"
78	"the court"	"had not issued"	"a ruling"
It is not really a camp, because no one is running things.
79	"It"	"is not"	"a camp because no one is running things"
79	"It"	"is not"	"a camp really"
79	"It"	"is not"	"a camp"
79	"It"	"is really"	"not really a camp"
79	"no one"	"is running"	"things"
That pushed the unemployment rate to 12.5 percent, from 12.4 percent in May.
80	"That"	"pushed"	"the unemployment rate from 12.4 percent in May"
80	"That"	"pushed"	"the unemployment rate to 12.5 percent"
80	"That"	"pushed"	"the unemployment rate"
80	"the unemployment rate"	"be pushed from"	"12.4 percent"
80	"the unemployment rate"	"be pushed in"	"May"
80	"the unemployment rate"	"be pushed to"	"12.5 percent"
It's not that I wouldn't drink these -- a number of them were very good.
81	"I"	"would n't drink"	"good"
81	"I"	"would n't drink"	"these"
81	"It"	"'s not"	"that I would n't drink these"
81	"a number of them"	"were very"	"good"
81	"a number of them"	"were"	"good very"
81	"a number of them"	"were"	"good"
81	"good"	"be a number of"	"them"
Costello's main work since joining the Defense Department last October has been to develop a series of policies aimed at strengthening industrial technologies and manufacturing methods in areas that are deemed important to arms production.
82	"Costello 's main work since joining the Defense Department last October"	"has been"	"to develop a series of policies aimed at manufacturing methods in areas"
82	"Costello 's main work since joining the Defense Department last October"	"has been"	"to develop a series of policies aimed at manufacturing methods"
82	"Costello 's main work since joining the Defense Department last October"	"has been"	"to develop a series of policies aimed at strengthening industrial technologies and manufacturing methods in areas"
82	"Costello 's main work since joining the Defense Department last October"	"has been"	"to develop a series of policies aimed at strengthening industrial technologies and manufacturing methods"
82	"Costello 's main work since joining the Defense Department last October"	"has been"	"to develop a series of policies aimed at strengthening industrial technologies in areas"
82	"Costello 's main work since joining the Defense Department last October"	"has been"	"to develop a series of policies aimed at strengthening industrial technologies"
82	"Costello 's main work"	"has been to develop"	"a series of policies"
82	"Costello"	"has"	"main work since joining the Defense Department last October"
82	"areas"	"are deemed"	"important to arms production"
82	"last October"	"has been to develop a series of"	"policies"
82	"policies"	"be aimed"	"at manufacturing methods"
82	"policies"	"be aimed"	"at strengthening industrial technologies and manufacturing methods"
82	"policies"	"be aimed"	"at strengthening industrial technologies"
Her father retired as a representative of manufacturers of railroad equipment.
83	"Her father"	"be a representative of"	"manufacturers of railroad equipment"
83	"Her father"	"retired as"	"a representative of manufacturers of railroad equipment"
83	"Her father"	"retired"	"as a representative of manufacturers of railroad equipment"
83	"Her"	"has"	"father"
A class-action lawsuit against the N.C.A.A., contending that major college football teams violate antitrust laws by refusing to give athletic scholarships to all walk-on players, was filed yesterday in a United States District Court in Seattle.
84	"A class-action lawsuit against the N.C.A.A."	"be contending"	"that major college football teams violate antitrust laws by refusing to give athletic scholarships to all walk-on players"
84	"A class-action lawsuit against the N.C.A.A."	"was filed"	"yesterday contending that major college football teams violate antitrust laws by refusing to give athletic scholarships to all walk-on players"
84	"A class-action lawsuit against the N.C.A.A."	"was filed"	"yesterday in Seattle"
84	"A class-action lawsuit against the N.C.A.A."	"was filed"	"yesterday in a United States District Court"
84	"A class-action lawsuit against the N.C.A.A."	"was filed"	"yesterday"
84	"athletic scholarships"	"to give to be"	"all walk-on players"
84	"athletic scholarships"	"was filed yesterday in"	"a United States District Court"
84	"major college football teams"	"violate"	"antitrust laws by refusing to give athletic scholarships to all walk-on players"
84	"major college football teams"	"violate"	"antitrust laws"
Following the killing of Amadou Diallo, the inexorable conclusion is that this is a Police Department out of control, with elected officials who are not interested in holding anybody accountable for its actions.
85	"elected officials"	"are not"	"interested in holding anybody accountable for its actions"
85	"elected officials"	"are not"	"interested"
85	"its"	"has"	"actions"
85	"the inexorable conclusion"	"is"	"that this is a Police Department out of control with elected officials Following the killing of Amadou Diallo"
85	"the inexorable conclusion"	"is"	"that this is a Police Department out of control with elected officials"
85	"this"	"is"	"a Police Department out of control"
85	"this"	"is"	"a Police Department with elected officials"
85	"this"	"is"	"a Police Department"
Indeed, history shows that those who ignore energy prices and their impact on overall inflation do so at their own risk.
86	"history"	"shows"	"that those do so at their own risk Indeed"
86	"history"	"shows"	"that those do so at their own risk"
86	"overall inflation"	"do so at"	"their own risk"
86	"their"	"has"	"impact on overall inflation"
86	"their"	"has"	"own risk"
86	"those"	"do"
86	"those"	"do"	"at their own risk"
86	"those"	"ignore"	"energy prices and their impact on overall inflation"
86	"those"	"ignore"	"energy prices"
86	"those"	"ignore"	"their impact on overall inflation"
The New Jersey school, like most others, issued the flag patches that have become ubiquitous on players' uniforms these days as a gesture of support for allied efforts in the Persian Gulf.
87	"The New Jersey school"	"issued the flag patches that have become ubiquitous on players ' uniforms these days as a gesture of support for allied efforts in the Persian Gulf like"	"most others"
87	"The New Jersey school"	"issued"	"the flag patches like most others"
87	"The New Jersey school"	"issued"	"the flag patches that have become ubiquitous on players ' uniforms these days as a gesture of support for allied efforts in the Persian Gulf"
87	"The New Jersey school"	"issued"	"the flag patches"
87	"players"	"has"	"uniforms"
87	"the flag patches that have become ubiquitous on players ' uniforms these days as a gesture of support for allied efforts in the Persian Gulf"	"be issued like"	"most others"
87	"the flag patches"	"have become"	"ubiquitous these days as a gesture of support for allied efforts in the Persian Gulf"
87	"the flag patches"	"have become"	"ubiquitous these days on players uniforms"
87	"the flag patches"	"have become"	"ubiquitous these days"
Two Japanese travel agencies have desks beside the finely manicured English-style garden adjacent to the lobby, busily booking free-spending guests for golf, horseback riding and guided shopping jaunts.
88	"Two Japanese travel agencies"	"guided shopping"	"jaunts"
88	"Two Japanese travel agencies"	"have desks beside"	"the finely manicured English-style garden adjacent"
88	"Two Japanese travel agencies"	"have desks"	"beside the finely manicured English-style garden adjacent to the lobby booking free-spending guests busily"
88	"Two Japanese travel agencies"	"have desks"	"beside the finely manicured English-style garden adjacent to the lobby booking free-spending guests for golf horseback riding and guided shopping jaunts"
88	"Two Japanese travel agencies"	"have desks"	"beside the finely manicured English-style garden adjacent to the lobby booking free-spending guests for golf horseback riding"
88	"Two Japanese travel agencies"	"have desks"	"beside the finely manicured English-style garden adjacent to the lobby booking free-spending guests for guided shopping jaunts"
88	"Two Japanese travel agencies"	"have desks"	"beside the finely manicured English-style garden adjacent to the lobby booking free-spending guests"
88	"Two Japanese travel agencies"	"have desks"	"booking free-spending guests busily"
88	"Two Japanese travel agencies"	"have desks"	"booking free-spending guests for golf horseback riding and guided shopping jaunts"
88	"Two Japanese travel agencies"	"have desks"	"booking free-spending guests for golf horseback riding"
88	"Two Japanese travel agencies"	"have desks"	"booking free-spending guests for guided shopping jaunts"
88	"Two Japanese travel agencies"	"have desks"	"booking free-spending guests"
88	"Two Japanese travel agencies"	"have"	"desks"
Net income represented net asset value.
89	"Net income"	"represented"	"net asset value"
Barak also ended six weeks of total public silence on policy to reproach President Clinton for making seemingly offhand remarks about the rights of Palestinian refugees.
90	"Barak"	"also ended in"	"six weeks of total public silence"
90	"Barak"	"also ended"	"six weeks of total public silence"
90	"Barak"	"ended"	"six weeks of total public silence on policy to reproach President Clinton for making seemingly offhand remarks about the rights of Palestinian refugees"
90	"Barak"	"ended"	"six weeks of total public silence to reproach President Clinton for making seemingly offhand remarks about the rights of Palestinian refugees also"
90	"Barak"	"ended"	"six weeks of total public silence to reproach President Clinton for making seemingly offhand remarks about the rights of Palestinian refugees"
We can break news at any time.
91	"We"	"can break news at"	"any time"
91	"We"	"can break"	"news at any time"
91	"We"	"can break"	"news"
91	"news"	"can be break at"	"any time"
